timestamp,node,ax,ay,az,gx,gy,gz,t_ms
2026-05-19 20:11:20,lombar,10432,-2748,-12092,80,-280,341,1059229
2026-05-19 20:11:20,esterno,2052,11264,10620,-250,75,106,401796
2026-05-19 20:11:20,lombar,10536,-2912,-12016,121,-276,292,1059251
2026-05-19 20:11:20,esterno,2192,11260,10736,-199,51,215,401818
2026-05-19 20:11:20,lombar,10456,-2936,-12200,230,-238,272,1059273
2026-05-19 20:11:20,esterno,2028,11208,10620,-116,-7,242,401840
2026-05-19 20:11:20,lombar,10548,-2692,-12296,368,-309,312,1059295
2026-05-19 20:11:20,esterno,1928,11228,10716,-72,14,117,401862
2026-05-19 20:11:20,lombar,10404,-2684,-12140,359,-299,250,1059317
2026-05-19 20:11:20,esterno,2048,11556,10624,-102,-3,61,401884
2026-05-19 20:11:20,lombar,10408,-2620,-11968,308,-411,260,1059339
2026-05-19 20:11:20,esterno,2440,11628,10812,-164,63,54,401906
2026-05-19 20:11:20,lombar,10572,-2588,-11972,146,-423,262,1059361
2026-05-19 20:11:20,esterno,2692,11488,10640,-244,196,90,401928
2026-05-19 20:11:20,lombar,10632,-2472,-12056,50,-424,228,1059383
2026-05-19 20:11:20,esterno,2592,11224,10708,-262,252,199,401950
2026-05-19 20:11:20,lombar,10548,-2772,-11976,-4,-386,238,1059405
2026-05-19 20:11:20,esterno,2432,11120,10608,-237,225,149,401972
2026-05-19 20:11:20,lombar,10636,-2824,-11836,9,-316,294,1059427
2026-05-19 20:11:20,esterno,2308,11196,10864,-210,215,99,401994
2026-05-19 20:11:20,lombar,10572,-2804,-12064,22,-241,272,1059449
2026-05-19 20:11:20,esterno,2360,11240,10988,-32,190,29,402016
2026-05-19 20:11:20,lombar,10584,-2500,-12328,22,-252,344,1059471
2026-05-19 20:11:20,esterno,2268,11336,10736,34,117,45,402038
2026-05-19 20:11:20,lombar,10576,-2444,-12168,-20,-216,409,1059493
2026-05-19 20:11:20,esterno,1948,11364,10620,51,127,44,402060
2026-05-19 20:11:20,lombar,10764,-2496,-11820,-65,-303,393,1059515
2026-05-19 20:11:20,esterno,1756,11856,10064,284,101,34,402082
2026-05-19 20:11:20,lombar,10576,-2220,-11828,-246,-426,454,1059537
2026-05-19 20:11:20,esterno,1640,11932,11056,558,-83,-206,402104
2026-05-19 20:11:20,lombar,10232,-2356,-11908,-463,-647,408,1059559
2026-05-19 20:11:20,esterno,2156,11948,10568,39,-101,-23,402126
2026-05-19 20:11:20,lombar,10540,-2408,-11704,-710,-714,457,1059581
2026-05-19 20:11:20,esterno,3060,11552,10192,-573,-422,286,402148
2026-05-19 20:11:20,lombar,10496,-2524,-12216,-770,-798,542,1059603
