timestamp,node,ax,ay,az,gx,gy,gz,t_ms
2026-05-19 20:08:47,lombar,16332,40,4244,-140,-840,292,906945
2026-05-19 20:08:47,esterno,1056,15196,-4976,-51,139,-130,249512
2026-05-19 20:08:48,lombar,16544,-56,4152,-246,-906,208,906967
2026-05-19 20:08:48,esterno,1008,15532,-5132,-95,155,-72,249534
2026-05-19 20:08:48,lombar,16640,-128,4152,-96,-975,272,906989
2026-05-19 20:08:48,esterno,812,15768,-5432,-402,197,66,249556
2026-05-19 20:08:48,lombar,16556,-28,4104,184,-813,190,907011
2026-05-19 20:08:48,esterno,708,15964,-5064,-810,175,356,249578
2026-05-19 20:08:48,lombar,16508,20,3996,248,-1056,170,907033
2026-05-19 20:08:48,esterno,768,15676,-4948,-796,86,530,249600
2026-05-19 20:08:48,lombar,16264,-32,4040,263,-975,125,907055
2026-05-19 20:08:48,esterno,1004,15468,-5244,-771,413,551,249622
2026-05-19 20:08:48,lombar,16312,80,4008,63,-910,206,907077
2026-05-19 20:08:48,esterno,1392,15320,-5332,-787,439,485,249644
2026-05-19 20:08:48,lombar,16364,108,4248,-237,-946,234,907099
2026-05-19 20:08:48,esterno,908,15512,-4848,-969,189,365,249666
2026-05-19 20:08:48,lombar,16376,-72,4468,-316,-841,98,907121
2026-05-19 20:08:48,esterno,564,15836,-4988,-966,-773,421,249688
2026-05-19 20:08:48,lombar,16344,16,4528,-272,-745,16,907143
2026-05-19 20:08:48,esterno,264,16008,-5128,-903,-595,553,249710
2026-05-19 20:08:48,lombar,16304,300,4176,-332,-606,70,907165
2026-05-19 20:08:48,esterno,540,15664,-5188,-1270,-468,954,249732
2026-05-19 20:08:48,lombar,16288,84,4356,-316,-813,8,907187
2026-05-19 20:08:48,esterno,1020,15256,-5336,-1205,-289,1276,249754
2026-05-19 20:08:48,lombar,16324,-16,4340,-159,-909,19,907209
2026-05-19 20:08:48,esterno,1344,15240,-5484,-1095,-280,1088,249776
2026-05-19 20:08:48,lombar,16552,64,4332,19,-925,87,907231
2026-05-19 20:08:48,esterno,1520,15736,-5168,-1247,-36,753,249798
2026-05-19 20:08:48,lombar,16172,100,4168,-73,-1065,193,907253
2026-05-19 20:08:48,esterno,1784,16044,-4752,-1505,311,755,249820
2026-05-19 20:08:48,lombar,16348,100,3916,-12,-1130,213,907275
2026-05-19 20:08:48,esterno,1776,15892,-4844,-1505,364,675,249842
2026-05-19 20:08:48,lombar,16236,140,3840,60,-1006,265,907297
2026-05-19 20:08:48,esterno,1336,15792,-4836,-1521,335,484,249864
2026-05-19 20:08:48,lombar,16224,80,4024,190,-1334,150,907319
2026-05-19 20:08:48,esterno,1200,15428,-4680,-1373,147,690,249886
2026-05-19 20:08:48,lombar,16652,192,3820,326,-1289,198,907341
2026-05-19 20:08:48,esterno,984,15456,-4448,-1324,710,783,249908
2026-05-19 20:08:48,lombar,16704,140,3772,449,-1394,236,907363
2026-05-19 20:08:48,esterno,932,15492,-3884,-1354,-305,651,249930
2026-05-19 20:08:48,lombar,16544,196,3736,358,-1292,234,907385
2026-05-19 20:08:48,esterno,984,15428,-4420,-1270,-650,586,249952
2026-05-19 20:08:48,lombar,16740,180,3252,346,-993,275,907407
2026-05-19 20:08:48,esterno,1032,15392,-3972,-1097,-170,549,249974
2026-05-19 20:08:48,lombar,16832,28,3276,269,-1283,196,907429
2026-05-19 20:08:48,esterno,1192,15420,-3976,-1114,-54,602,249996
2026-05-19 20:08:48,esterno,1268,15260,-3812,-1121,-169,472,250018
2026-05-19 20:08:48,lombar,16836,64,3408,221,-982,263,907451
2026-05-19 20:08:48,lombar,16924,-20,3416,211,-943,155,907473
2026-05-19 20:08:48,esterno,1512,15460,-3424,-1081,-139,186,250040
2026-05-19 20:08:48,lombar,16676,132,2948,272,-501,188,907495
2026-05-19 20:08:48,esterno,1760,15272,-3356,-1008,-82,61,250062
2026-05-19 20:08:48,lombar,16716,112,3172,281,-372,95,907517
2026-05-19 20:08:48,esterno,1900,14760,-3644,-728,349,-48,250084
2026-05-19 20:08:48,lombar,16864,32,3220,298,-254,-36,907539
2026-05-19 20:08:48,esterno,1616,14384,-3544,-185,560,-191,250106
2026-05-19 20:08:48,esterno,1332,14452,-3436,299,710,-163,250128
2026-05-19 20:08:48,lombar,16612,20,3552,324,81,-31,907561
2026-05-19 20:08:48,lombar,16736,200,3560,211,-190,-49,907583
2026-05-19 20:08:48,esterno,816,15104,-3640,25,779,-84,250150
2026-05-19 20:08:48,esterno,732,15896,-4136,-641,835,419,250172
2026-05-19 20:08:48,lombar,16756,236,3452,216,131,-151,907605
2026-05-19 20:08:48,lombar,16812,380,3344,239,121,-72,907627
2026-05-19 20:08:48,esterno,1072,16284,-4160,-564,474,875,250194
2026-05-19 20:08:48,lombar,16468,352,3620,288,-93,-7,907649
2026-05-19 20:08:48,esterno,2376,17168,-4964,-206,750,1283,250216
2026-05-19 20:08:48,lombar,16444,396,3472,642,-138,22,907671
2026-05-19 20:08:48,esterno,2100,16440,-3692,-59,769,1441,250238
2026-05-19 20:08:48,lombar,16048,672,3836,456,-224,219,907693
2026-05-19 20:08:48,esterno,992,14996,-4060,1031,-875,431,250260
2026-05-19 20:08:48,lombar,16180,472,3516,557,-3,64,907715
2026-05-19 20:08:48,esterno,1548,14452,-4312,1205,-344,-360,250282
2026-05-19 20:08:48,lombar,16592,480,3596,698,235,-103,907737
2026-05-19 20:08:48,esterno,2480,15060,-4348,-595,481,-544,250304
2026-05-19 20:08:48,lombar,16936,456,3248,651,175,-40,907759
2026-05-19 20:08:48,esterno,2668,16004,-4264,-1412,1150,168,250326
2026-05-19 20:08:48,lombar,16884,652,3356,549,-9,97,907781
2026-05-19 20:08:48,esterno,1804,16912,-3488,-267,599,650,250348
2026-05-19 20:08:48,lombar,16628,692,3304,440,89,196,907803
2026-05-19 20:08:48,esterno,1256,16948,-3412,978,96,152,250370
2026-05-19 20:08:48,lombar,16476,516,3320,376,-27,228,907825
2026-05-19 20:08:48,esterno,1128,16148,-3208,976,422,-761,250392
2026-05-19 20:08:48,esterno,1640,15532,-3408,291,640,-1184,250414
2026-05-19 20:08:48,lombar,16204,848,3304,-10,-371,400,907847
2026-05-19 20:08:48,lombar,16248,672,3388,-226,-376,298,907869
2026-05-19 20:08:48,esterno,1740,14964,-4056,-787,346,-804,250436
2026-05-19 20:08:48,lombar,16256,364,3364,-217,-462,225,907891
2026-05-19 20:08:48,esterno,2048,14704,-5164,-1276,459,-239,250458
2026-05-19 20:08:48,lombar,16592,248,3836,70,-632,232,907913
2026-05-19 20:08:48,esterno,1864,15204,-4652,-943,373,-60,250480
2026-05-19 20:08:48,lombar,16756,444,3956,288,-501,494,907935
2026-05-19 20:08:48,esterno,1500,15792,-4296,-380,-138,-120,250502
2026-05-19 20:08:48,esterno,1492,15980,-4412,-472,492,-196,250524
2026-05-19 20:08:48,lombar,16436,696,4156,231,-505,774,907957
2026-05-19 20:08:49,lombar,16476,496,4376,-9,-833,727,907979
2026-05-19 20:08:49,esterno,1960,15560,-4292,-1412,252,-262,250546
2026-05-19 20:08:49,lombar,16388,476,4160,63,-665,561,908001
2026-05-19 20:08:49,esterno,1736,15136,-4668,-1542,223,-636,250568
2026-05-19 20:08:49,lombar,16340,612,3984,33,-559,556,908023
2026-05-19 20:08:49,esterno,1508,15072,-5268,-921,176,-592,250590
2026-05-19 20:08:49,lombar,16440,424,4088,-10,-610,553,908045
2026-05-19 20:08:49,esterno,1212,15076,-5240,-504,531,-80,250612
2026-05-19 20:08:49,esterno,1340,15200,-4564,-744,826,392,250634
2026-05-19 20:08:49,lombar,16460,484,4176,193,-712,576,908067
2026-05-19 20:08:49,lombar,16160,456,3988,9,-656,602,908089
2026-05-19 20:08:49,esterno,1320,15336,-3908,-817,836,456,250656
2026-05-19 20:08:49,lombar,16188,364,4020,-163,-1094,508,908111
2026-05-19 20:08:49,esterno,1220,15476,-3772,-584,408,404,250678
2026-05-19 20:08:49,lombar,16548,264,3836,-117,-998,493,908133
2026-05-19 20:08:49,esterno,1204,15472,-4208,-441,113,397,250700
2026-05-19 20:08:49,lombar,16436,244,3564,-93,-914,548,908155
2026-05-19 20:08:49,esterno,1104,15396,-3952,-468,166,237,250722
2026-05-19 20:08:49,lombar,16528,88,3808,-61,-1253,545,908177
2026-05-19 20:08:49,esterno,1192,15348,-3708,-461,-68,71,250744
2026-05-19 20:08:49,lombar,16364,-140,3900,-31,-1378,430,908199
2026-05-19 20:08:49,esterno,1296,15136,-3908,-85,-159,36,250766
2026-05-19 20:08:49,lombar,16700,32,4292,197,-1184,354,908221
2026-05-19 20:08:49,esterno,1496,14944,-3860,387,163,-142,250788
2026-05-19 20:08:49,lombar,17140,340,4700,479,-1205,464,908243
2026-05-19 20:08:49,esterno,1544,14572,-3676,818,360,-453,250810
2026-05-19 20:08:49,lombar,15472,-140,688,-465,3379,505,908265
2026-05-19 20:08:49,esterno,1288,14356,-3448,1332,24,-631,250832
2026-05-19 20:08:49,lombar,16432,464,4140,-159,2137,257,908287
2026-05-19 20:08:49,esterno,1480,15280,-3620,1466,-69,-770,250854
2026-05-19 20:08:49,lombar,17352,240,3384,51,1261,222,908309
2026-05-19 20:08:49,esterno,1768,16588,-3520,960,789,-700,250876
2026-05-19 20:08:49,lombar,17124,128,4208,206,1526,248,908331
2026-05-19 20:08:49,esterno,1668,17180,-3060,228,619,-398,250898
2026-05-19 20:08:49,lombar,16960,176,4008,141,1189,506,908353
