timestamp,node,ax,ay,az,gx,gy,gz,t_ms
2026-05-19 20:04:14,lombar,16668,184,2504,95,-623,280,633155
2026-05-19 20:04:14,esterno,0,0,0,0,0,0,337136
2026-05-19 20:04:14,esterno,0,0,0,0,0,0,337158
2026-05-19 20:04:14,lombar,16776,140,2472,122,-512,231,633177
2026-05-19 20:04:14,esterno,0,0,0,0,0,0,337180
2026-05-19 20:04:14,lombar,16620,356,2344,129,-510,315,633199
2026-05-19 20:04:14,esterno,0,0,0,0,0,0,337202
2026-05-19 20:04:14,lombar,16776,288,2536,36,-476,346,633221
2026-05-19 20:04:14,esterno,0,0,0,0,0,0,337224
2026-05-19 20:04:14,lombar,16776,120,2532,25,-485,272,633243
2026-05-19 20:04:14,esterno,0,0,0,0,0,0,337246
2026-05-19 20:04:14,lombar,16756,224,2500,64,-419,350,633265
2026-05-19 20:04:14,esterno,0,0,0,0,0,0,337268
2026-05-19 20:04:14,lombar,16652,144,2504,42,-387,410,633287
2026-05-19 20:04:14,esterno,0,0,0,0,0,0,337290
2026-05-19 20:04:14,lombar,16700,188,2408,22,-401,402,633309
2026-05-19 20:04:14,esterno,0,0,0,0,0,0,337312
2026-05-19 20:04:14,lombar,16548,140,2672,-40,-477,362,633331
2026-05-19 20:04:14,esterno,0,0,0,0,0,0,337334
2026-05-19 20:04:14,lombar,16580,52,2664,-68,-471,282,633353
2026-05-19 20:04:14,esterno,0,0,0,0,0,0,337356
2026-05-19 20:04:14,lombar,16728,236,2556,-45,-624,344,633375
2026-05-19 20:04:14,esterno,0,0,0,0,0,0,337378
2026-05-19 20:04:14,lombar,16848,268,2428,-5,-449,341,633397
2026-05-19 20:04:14,esterno,0,0,0,0,0,0,337400
2026-05-19 20:04:14,lombar,16752,136,2116,-8,-368,253,633419
2026-05-19 20:04:14,esterno,0,0,0,0,0,0,337422
2026-05-19 20:04:14,lombar,16844,220,2280,7,-346,336,633441
2026-05-19 20:04:14,lombar,16868,236,2168,187,-304,423,633463
2026-05-19 20:04:14,esterno,0,0,0,0,0,0,337444
2026-05-19 20:04:14,esterno,0,0,0,0,0,0,337466
2026-05-19 20:04:14,lombar,16692,176,2484,114,-474,438,633485
2026-05-19 20:04:14,esterno,0,0,0,0,0,0,337488
2026-05-19 20:04:14,lombar,16740,184,2128,114,-377,500,633507
2026-05-19 20:04:14,esterno,0,0,0,0,0,0,337510
2026-05-19 20:04:14,lombar,16680,68,2356,132,-271,359,633529
2026-05-19 20:04:14,esterno,0,0,0,0,0,0,337532
2026-05-19 20:04:14,lombar,16636,56,2388,95,-347,384,633551
2026-05-19 20:04:14,lombar,16800,76,2384,111,-335,405,633573
2026-05-19 20:04:14,esterno,0,0,0,0,0,0,337554
2026-05-19 20:04:14,esterno,0,0,0,0,0,0,337576
2026-05-19 20:04:14,lombar,16704,96,2420,156,-295,452,633595
2026-05-19 20:04:14,esterno,0,0,0,0,0,0,337598
2026-05-19 20:04:14,lombar,16680,124,2404,195,-216,488,633617
2026-05-19 20:04:14,esterno,0,0,0,0,0,0,337620
2026-05-19 20:04:14,lombar,16764,72,2496,132,-269,419,633639
2026-05-19 20:04:14,esterno,0,0,0,0,0,0,337642
2026-05-19 20:04:14,lombar,16576,-32,2420,152,-220,406,633661
2026-05-19 20:04:14,esterno,0,0,0,0,0,0,337664
2026-05-19 20:04:14,lombar,16672,80,2680,191,-180,306,633683
2026-05-19 20:04:14,esterno,0,0,0,0,0,0,337686
2026-05-19 20:04:14,lombar,16624,-4,2624,162,-399,360,633705
2026-05-19 20:04:14,esterno,0,0,0,0,0,0,337708
2026-05-19 20:04:14,lombar,16668,244,2368,162,-460,388,633727
2026-05-19 20:04:14,esterno,0,0,0,0,0,0,337730
2026-05-19 20:04:14,lombar,16696,168,2592,72,-368,353,633749
2026-05-19 20:04:14,lombar,16692,72,2460,37,-392,311,633771
2026-05-19 20:04:14,esterno,0,0,0,0,0,0,337752
2026-05-19 20:04:14,esterno,0,0,0,0,0,0,337774
2026-05-19 20:04:14,lombar,16748,48,2376,197,-365,378,633793
2026-05-19 20:04:14,esterno,0,0,0,0,0,0,337796
2026-05-19 20:04:14,lombar,16736,140,2408,168,-173,400,633815
2026-05-19 20:04:14,esterno,0,0,0,0,0,0,337818
2026-05-19 20:04:14,lombar,16764,172,2388,219,-449,431,633837
2026-05-19 20:04:14,esterno,0,0,0,0,0,0,337840
2026-05-19 20:04:14,lombar,16772,124,2508,186,-287,389,633859
2026-05-19 20:04:14,esterno,0,0,0,0,0,0,337862
2026-05-19 20:04:14,lombar,16696,72,2312,154,-308,396,633881
2026-05-19 20:04:14,esterno,0,0,0,0,0,0,337884
2026-05-19 20:04:14,lombar,16776,184,2400,130,-457,386,633903
2026-05-19 20:04:14,esterno,0,0,0,0,0,0,337906
2026-05-19 20:04:14,lombar,16772,84,2356,127,-546,396,633925
2026-05-19 20:04:14,esterno,0,0,0,0,0,0,337928
2026-05-19 20:04:14,lombar,16644,-20,2368,128,-358,438,633947
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,337950
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,337972
2026-05-19 20:04:15,lombar,16696,84,2660,107,-567,428,633969
2026-05-19 20:04:15,lombar,16844,0,2196,123,-381,364,633991
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,337994
2026-05-19 20:04:15,lombar,16700,116,2404,164,-241,292,634013
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,338016
2026-05-19 20:04:15,lombar,16764,124,2404,138,-373,422,634035
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,338038
2026-05-19 20:04:15,lombar,16696,156,2328,90,-410,359,634057
2026-05-19 20:04:15,lombar,16716,172,2212,96,-484,334,634079
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,338060
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,338082
2026-05-19 20:04:15,lombar,16700,232,2056,204,-131,408,634101
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,338104
2026-05-19 20:04:15,lombar,16692,56,2480,138,-314,283,634123
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,338126
2026-05-19 20:04:15,lombar,16752,44,2156,70,-494,329,634145
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,338148
2026-05-19 20:04:15,lombar,16632,44,2240,202,-455,374,634167
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,338170
2026-05-19 20:04:15,lombar,16736,64,2456,81,-406,379,634189
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,338192
2026-05-19 20:04:15,lombar,16756,84,2240,77,-373,390,634211
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,338214
2026-05-19 20:04:15,lombar,16760,36,2272,78,-378,406,634233
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,338236
2026-05-19 20:04:15,lombar,16644,76,2328,143,-333,332,634255
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,338258
2026-05-19 20:04:15,lombar,16568,40,2520,124,-671,249,634277
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,338280
2026-05-19 20:04:15,lombar,16636,164,2268,47,-107,435,634299
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,338302
2026-05-19 20:04:15,lombar,16612,76,1992,186,-640,333,634321
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,338324
2026-05-19 20:04:15,lombar,16664,36,2432,80,-30,351,634343
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,338346
2026-05-19 20:04:15,lombar,16868,172,2068,41,-435,355,634365
2026-05-19 20:04:15,lombar,16604,64,2364,178,-590,375,634387
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,338368
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,338390
2026-05-19 20:04:15,lombar,16708,80,1940,88,-375,403,634409
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,338412
2026-05-19 20:04:15,lombar,16816,60,2264,98,-436,386,634431
2026-05-19 20:04:15,lombar,16624,100,2028,229,-442,382,634453
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,338434
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,338456
2026-05-19 20:04:15,lombar,16620,100,2244,72,-842,364,634475
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,338478
2026-05-19 20:04:15,lombar,16724,36,2452,48,-270,467,634497
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,338500
2026-05-19 20:04:15,lombar,16664,56,2512,145,-596,417,634519
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,338522
2026-05-19 20:04:15,lombar,16644,-12,1968,124,-412,400,634541
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,338544
2026-05-19 20:04:15,lombar,16660,-64,2272,40,-300,289,634563
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,338566
2026-05-19 20:04:15,lombar,16880,-84,2316,96,-324,406,634585
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,338588
2026-05-19 20:04:15,lombar,16900,172,2032,145,-842,335,634607
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,338610
2026-05-19 20:04:15,lombar,16664,272,2124,-71,-129,434,634629
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,338632
2026-05-19 20:04:15,lombar,16836,192,1956,-48,-394,475,634651
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,338654
2026-05-19 20:04:15,lombar,16780,-124,2052,135,18,346,634673
2026-05-19 20:04:15,lombar,16704,-28,1856,-9,-129,398,634695
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,338676
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,338698
2026-05-19 20:04:15,lombar,16816,-216,1804,23,-90,378,634717
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,338720
2026-05-19 20:04:15,lombar,16764,-20,2052,257,-118,426,634739
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,338742
2026-05-19 20:04:15,lombar,16868,28,1956,327,-202,423,634761
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,338764
2026-05-19 20:04:15,lombar,16772,8,2128,246,-176,432,634783
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,338786
2026-05-19 20:04:15,lombar,16788,132,2384,185,-122,377,634805
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,338808
2026-05-19 20:04:15,lombar,16628,48,2400,184,-256,308,634827
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,338830
2026-05-19 20:04:15,lombar,16660,116,2340,3,-268,367,634849
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,338852
2026-05-19 20:04:15,lombar,16772,-20,2560,87,-230,278,634871
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,338874
2026-05-19 20:04:15,lombar,16648,100,2348,122,-133,251,634893
2026-05-19 20:04:15,lombar,16608,32,2488,8,-309,351,634915
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,338896
2026-05-19 20:04:15,esterno,0,0,0,0,0,0,338918
2026-05-19 20:04:15,lombar,16664,120,2480,33,-281,420,634937
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,338940
2026-05-19 20:04:16,lombar,16776,-32,2304,106,-329,330,634959
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,338962
2026-05-19 20:04:16,lombar,16412,-8,2880,46,-719,388,634981
2026-05-19 20:04:16,lombar,16900,192,1792,-8,-40,415,635003
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,338984
2026-05-19 20:04:16,lombar,16732,-180,2248,52,-372,381,635025
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,339006
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,339028
2026-05-19 20:04:16,lombar,16704,-64,2340,179,-322,325,635047
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,339050
2026-05-19 20:04:16,lombar,16724,112,2208,159,-660,265,635069
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,339072
2026-05-19 20:04:16,lombar,16180,136,2136,80,-277,311,635091
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,339094
2026-05-19 20:04:16,lombar,16684,-268,2316,-266,-90,295,635113
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,339116
2026-05-19 20:04:16,lombar,17656,-316,2128,112,-101,75,635135
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,339138
2026-05-19 20:04:16,lombar,16896,36,2136,325,-216,326,635157
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,339160
2026-05-19 20:04:16,lombar,16292,188,2332,56,-302,512,635179
2026-05-19 20:04:16,lombar,16368,40,2196,61,-300,308,635201
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,339182
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,339204
2026-05-19 20:04:16,lombar,16584,108,2192,264,42,242,635223
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,339226
2026-05-19 20:04:16,lombar,16848,220,1844,12,-349,336,635245
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,339248
2026-05-19 20:04:16,lombar,16752,184,2224,-96,-393,334,635267
2026-05-19 20:04:16,lombar,16808,108,2052,19,-290,385,635289
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,339270
2026-05-19 20:04:16,lombar,16756,48,2208,-8,-315,291,635311
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,339292
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,339314
2026-05-19 20:04:16,lombar,16864,164,2100,37,-371,308,635333
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,339336
2026-05-19 20:04:16,lombar,16644,-52,2420,5,-185,362,635355
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,339358
2026-05-19 20:04:16,lombar,16524,-116,2204,74,-195,303,635377
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,339380
2026-05-19 20:04:16,lombar,16668,-16,2256,68,103,401,635399
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,339402
2026-05-19 20:04:16,lombar,16860,-32,2268,82,-192,469,635421
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,339424
2026-05-19 20:04:16,lombar,16656,-28,2272,220,-313,406,635443
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,339446
2026-05-19 20:04:16,lombar,16616,-68,2424,54,5,414,635465
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,339468
2026-05-19 20:04:16,lombar,16904,144,2112,134,-246,412,635487
2026-05-19 20:04:16,lombar,16688,20,2068,185,-22,424,635509
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,339490
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,339512
2026-05-19 20:04:16,lombar,16624,72,2204,12,-202,356,635531
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,339534
2026-05-19 20:04:16,lombar,16872,8,2108,45,-95,374,635553
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,339556
2026-05-19 20:04:16,lombar,16772,-84,2476,60,-157,343,635575
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,339578
2026-05-19 20:04:16,lombar,16608,40,2432,53,-164,373,635597
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,339600
2026-05-19 20:04:16,lombar,16732,40,1920,94,-229,340,635619
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,339622
2026-05-19 20:04:16,lombar,16764,-12,2364,88,-79,345,635641
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,339644
2026-05-19 20:04:16,lombar,16744,-24,2232,113,-167,326,635663
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,339666
2026-05-19 20:04:16,lombar,16668,100,2340,168,-14,417,635685
2026-05-19 20:04:16,lombar,16588,104,2352,117,-225,364,635707
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,339688
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,339710
2026-05-19 20:04:16,lombar,16908,-44,2252,116,-202,317,635729
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,339732
2026-05-19 20:04:16,lombar,16668,208,2132,150,-86,364,635751
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,339754
2026-05-19 20:04:16,lombar,16628,36,2356,38,-181,432,635773
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,339776
2026-05-19 20:04:16,lombar,16684,-52,2340,3,-203,375,635795
2026-05-19 20:04:16,lombar,16656,-40,2404,-27,-276,277,635817
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,339798
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,339820
2026-05-19 20:04:16,lombar,16656,8,2248,22,-214,338,635839
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,339842
2026-05-19 20:04:16,lombar,16732,-12,2252,16,-162,326,635861
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,339864
2026-05-19 20:04:16,lombar,16652,0,2444,10,-202,405,635883
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,339886
2026-05-19 20:04:16,lombar,16772,4,2408,-42,-246,412,635905
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,339908
2026-05-19 20:04:16,lombar,16556,24,2392,49,-226,327,635927
2026-05-19 20:04:16,esterno,0,0,0,0,0,0,339930
2026-05-19 20:04:17,lombar,16728,-124,2188,54,-97,256,635949
2026-05-19 20:04:17,esterno,0,0,0,0,0,0,339952
2026-05-19 20:04:17,lombar,16852,-92,2180,107,-80,279,635971
2026-05-19 20:04:17,esterno,0,0,0,0,0,0,339974
2026-05-19 20:04:17,lombar,16740,-60,2360,153,-121,346,635993
2026-05-19 20:04:17,esterno,0,0,0,0,0,0,339996
2026-05-19 20:04:17,lombar,16736,-44,2188,85,-167,364,636015
2026-05-19 20:04:17,esterno,0,0,0,0,0,0,340018
2026-05-19 20:04:17,lombar,16800,28,2400,111,-243,323,636037
2026-05-19 20:04:17,esterno,0,0,0,0,0,0,340040
2026-05-19 20:04:17,lombar,16612,120,2372,125,-209,328,636059
2026-05-19 20:04:17,esterno,0,0,0,0,0,0,340062
2026-05-19 20:04:17,lombar,16644,76,2292,31,-276,371,636081
2026-05-19 20:04:17,esterno,0,0,0,0,0,0,340084
2026-05-19 20:04:17,lombar,16740,20,2432,38,-314,342,636103
2026-05-19 20:04:17,lombar,16732,24,2264,86,-240,310,636125
2026-05-19 20:04:17,esterno,0,0,0,0,0,0,340106
2026-05-19 20:04:17,esterno,0,0,0,0,0,0,340128
2026-05-19 20:04:17,lombar,16868,-36,2316,48,-99,264,636147
2026-05-19 20:04:17,esterno,0,0,0,0,0,0,340150
2026-05-19 20:04:17,lombar,16736,-40,2440,17,-167,368,636169
2026-05-19 20:04:17,esterno,0,0,0,0,0,0,340172
