timestamp,node,ax,ay,az,gx,gy,gz,t_ms
2026-05-19 20:17:02,esterno,32,15196,-6064,-371,-118,-569,743940
2026-05-19 20:17:02,lombar,16688,-1100,628,-1258,-578,1043,1401395
2026-05-19 20:17:02,esterno,-208,15196,-5876,-514,-133,-590,743962
2026-05-19 20:17:02,lombar,16864,-1172,1104,-1365,-647,1035,1401417
2026-05-19 20:17:02,esterno,-564,14992,-6120,-619,-278,-646,743984
2026-05-19 20:17:02,lombar,16952,-1112,796,-1871,-895,1201,1401439
2026-05-19 20:17:02,esterno,-748,15004,-5900,-557,-285,-689,744006
2026-05-19 20:17:02,lombar,16856,-1156,620,-2192,-746,1187,1401461
2026-05-19 20:17:02,esterno,-548,15180,-6044,-615,-325,-593,744028
2026-05-19 20:17:02,lombar,16764,-1872,600,-2037,-998,974,1401483
2026-05-19 20:17:02,esterno,-692,15420,-5760,-674,-515,-451,744050
2026-05-19 20:17:02,lombar,16472,-1976,612,-1829,-1052,1020,1401505
2026-05-19 20:17:02,esterno,-832,15144,-6048,-638,-514,-325,744072
2026-05-19 20:17:02,lombar,16540,-2536,316,-1411,-883,893,1401527
2026-05-19 20:17:02,esterno,-1020,14992,-6060,-671,-173,-357,744094
2026-05-19 20:17:02,lombar,16472,-2612,92,-950,-894,763,1401549
2026-05-19 20:17:02,esterno,-1232,15116,-5472,-836,86,-379,744116
2026-05-19 20:17:02,lombar,16716,-2636,104,-306,-911,563,1401571
2026-05-19 20:17:02,esterno,-1096,15320,-5500,-1055,297,-245,744138
2026-05-19 20:17:02,lombar,16580,-2432,104,97,-967,370,1401593
2026-05-19 20:17:02,esterno,-1032,15620,-5552,-1173,602,92,744160
2026-05-19 20:17:02,lombar,16356,-2200,-48,318,-1234,62,1401615
2026-05-19 20:17:02,esterno,-824,15356,-5520,-1031,857,377,744182
2026-05-19 20:17:02,lombar,16328,-2632,-388,788,-1217,-307,1401637
2026-05-19 20:17:02,esterno,-732,15276,-5428,-1014,1190,582,744204
2026-05-19 20:17:02,lombar,16404,-2820,-80,1700,-951,-762,1401659
2026-05-19 20:17:02,esterno,-764,15252,-5552,-1205,1711,729,744226
2026-05-19 20:17:02,lombar,17056,-2040,-212,2158,-945,-889,1401681
2026-05-19 20:17:02,esterno,-764,15484,-5848,-1298,2198,1019,744248
2026-05-19 20:17:02,lombar,17648,-900,824,1932,-1480,-926,1401703
2026-05-19 20:17:02,esterno,-484,15832,-5888,-1315,2306,1390,744270
2026-05-19 20:17:02,lombar,17732,-416,588,1835,-1623,-1193,1401725
2026-05-19 20:17:02,esterno,-12,15756,-5544,-996,2088,1824,744292
2026-05-19 20:17:02,lombar,17136,-460,168,2000,-957,-1483,1401747
2026-05-19 20:17:02,esterno,436,15536,-5000,-494,1920,2041,744314
2026-05-19 20:17:02,lombar,16628,-480,836,1821,-1066,-1589,1401769
2026-05-19 20:17:02,esterno,280,15088,-5020,-259,1603,2175,744336
2026-05-19 20:17:02,lombar,16788,-804,376,1293,-843,-1400,1401791
2026-05-19 20:17:02,esterno,32,14560,-5476,-178,1509,2114,744358
2026-05-19 20:17:02,lombar,16668,-1008,372,1499,-784,-1258,1401813
2026-05-19 20:17:02,esterno,-108,14700,-5484,-458,892,2233,744380
2026-05-19 20:17:02,lombar,16476,-972,308,2030,-836,-1362,1401835
2026-05-19 20:17:02,esterno,-184,14668,-5660,-456,642,2242,744402
2026-05-19 20:17:02,lombar,16816,-716,444,2209,-783,-1332,1401857
2026-05-19 20:17:02,esterno,-108,14612,-5928,-89,683,1891,744424
2026-05-19 20:17:02,lombar,16916,-128,612,2212,-895,-1244,1401879
2026-05-19 20:17:02,esterno,368,14892,-5664,-13,607,1689,744446
2026-05-19 20:17:02,lombar,16888,-60,72,2153,-713,-1285,1401901
2026-05-19 20:17:02,esterno,904,15116,-5260,5,261,1892,744468
2026-05-19 20:17:02,esterno,1144,15340,-5212,187,-12,2012,744490
2026-05-19 20:17:02,lombar,16520,292,488,1847,-646,-1368,1401923
2026-05-19 20:17:02,lombar,16496,572,112,1392,-393,-1291,1401945
2026-05-19 20:17:02,esterno,1172,15272,-5324,64,-54,1906,744512
2026-05-19 20:17:03,lombar,16544,472,364,1582,-152,-1443,1401967
2026-05-19 20:17:03,esterno,1224,15040,-5624,-224,-174,1905,744534
