timestamp,node,ax,ay,az,gx,gy,gz,t_ms
2026-05-19 20:14:43,lombar,16616,-824,-1648,144,-953,459,1262157
2026-05-19 20:14:43,esterno,2280,15032,4452,-882,104,-85,604724
2026-05-19 20:14:43,lombar,16688,-736,-1832,95,-708,348,1262179
2026-05-19 20:14:43,esterno,2380,15012,4580,-914,155,-89,604746
2026-05-19 20:14:43,lombar,16648,-808,-1432,105,-650,376,1262201
2026-05-19 20:14:43,esterno,2372,15044,4656,-841,170,-3,604768
2026-05-19 20:14:43,lombar,16772,-792,-1784,107,-581,355,1262223
2026-05-19 20:14:43,esterno,2412,15148,4656,-655,171,180,604790
2026-05-19 20:14:43,lombar,16804,-760,-1564,63,-532,336,1262245
2026-05-19 20:14:43,esterno,2392,15060,4360,-601,308,97,604812
2026-05-19 20:14:43,lombar,16584,-824,-1668,75,-409,261,1262267
2026-05-19 20:14:43,esterno,2288,15100,5132,-687,119,5,604834
2026-05-19 20:14:43,lombar,16716,-872,-1704,-14,-249,295,1262289
2026-05-19 20:14:43,esterno,2524,15244,4784,-1021,-315,332,604856
2026-05-19 20:14:43,lombar,16564,-944,-1388,10,-169,257,1262311
2026-05-19 20:14:43,esterno,2504,14692,4436,-735,-175,441,604878
2026-05-19 20:14:43,lombar,16656,-740,-1520,110,-160,272,1262333
2026-05-19 20:14:43,esterno,2440,14876,4492,-395,381,211,604900
2026-05-19 20:14:43,lombar,16656,-608,-1604,56,-60,199,1262355
2026-05-19 20:14:43,esterno,2556,14964,4900,-499,392,28,604922
2026-05-19 20:14:43,lombar,16608,-732,-1608,11,-29,266,1262377
2026-05-19 20:14:43,esterno,2432,15164,4688,-451,216,172,604944
2026-05-19 20:14:43,esterno,2348,14896,4536,-489,281,274,604966
2026-05-19 20:14:43,lombar,16588,-780,-1432,25,-201,317,1262399
2026-05-19 20:14:43,lombar,16652,-704,-1556,-35,-203,373,1262421
2026-05-19 20:14:43,esterno,2324,14992,5024,-551,392,294,604988
2026-05-19 20:14:43,lombar,16480,-848,-1680,-6,-192,299,1262443
2026-05-19 20:14:43,esterno,2556,14904,4828,-483,363,222,605010
2026-05-19 20:14:43,lombar,16484,-904,-1456,46,-154,333,1262465
2026-05-19 20:14:43,esterno,2404,14948,4852,-372,368,179,605032
2026-05-19 20:14:43,lombar,16648,-888,-1544,95,-217,277,1262487
2026-05-19 20:14:43,esterno,2296,14940,4900,-451,418,164,605054
2026-05-19 20:14:43,lombar,16520,-828,-1488,155,-225,281,1262509
2026-05-19 20:14:43,esterno,2380,14976,5332,-539,89,269,605076
2026-05-19 20:14:43,lombar,16556,-636,-1508,55,-199,350,1262531
2026-05-19 20:14:43,esterno,2244,15016,4872,-508,174,315,605098
2026-05-19 20:14:43,lombar,16616,-864,-1556,26,-267,345,1262553
2026-05-19 20:14:43,esterno,2776,14988,5128,-346,71,199,605120
2026-05-19 20:14:43,lombar,16548,-948,-1640,122,-377,314,1262575
2026-05-19 20:14:43,esterno,2472,14952,4872,-558,7,200,605142
2026-05-19 20:14:43,lombar,16484,-840,-1464,127,-303,204,1262597
2026-05-19 20:14:43,esterno,2484,14836,5036,-583,-131,240,605164
2026-05-19 20:14:43,lombar,16484,-628,-1572,-91,-383,277,1262619
2026-05-19 20:14:43,esterno,2616,14820,5016,-613,-28,249,605186
2026-05-19 20:14:43,lombar,16560,-892,-1676,-7,-441,298,1262641
2026-05-19 20:14:43,esterno,2512,14720,4876,-545,77,122,605208
2026-05-19 20:14:43,lombar,16632,-752,-1540,35,-407,275,1262663
2026-05-19 20:14:43,esterno,2524,14832,5292,-497,77,27,605230
2026-05-19 20:14:43,lombar,16712,-884,-1624,22,-403,312,1262685
2026-05-19 20:14:43,esterno,2540,14936,4968,-519,90,30,605252
2026-05-19 20:14:43,lombar,16484,-808,-1684,58,-403,270,1262707
2026-05-19 20:14:43,esterno,2700,14884,5068,-502,164,21,605274
2026-05-19 20:14:43,lombar,16680,-980,-1832,45,-385,266,1262729
